price,neighbourhoodId,year of transaction (not used in DataLoader),month of transaction (not used in DataLoader),state,size
6.5181275316281974E7,0,0,0,1.7812165801202342,99.04137711129873
5.753360413658924E7,0,0,0,2.225401306094027,81.89369066601648
9.556189329839952E7,0,0,0,2.1635650520415517,137.23127820911654
8.428095756826688E7,0,0,0,2.1204309100631358,121.78570765833712
3.883459612591801E7,0,0,0,1.0238470700323858,66.68203278507802
2.99306091602254E7,0,0,0,2.575025705078934,40.58373537547563
2.4643510483373888E7,0,0,0,2.3890689403201013,34.27914057849695
9.204069681471561E7,0,0,0,2.154224954405239,132.35219944447053
6.4611795524395704E7,0,0,0,2.0171715988403944,94.77800960061826
5.221336345011621E7,0,0,0,1.4122525310864211,84.0490034634586
9.023894059335779E7,0,0,0,2.358599245214478,126.05670118170464
7.064375334227875E7,0,0,0,2.5157042093398596,96.56452929314561
6.045134245302075E7,0,0,0,1.2306432819175823,100.2402888499133
6.815610455245903E7,0,0,0,1.2446355673507568,112.75469594990075
3.886244029953092E7,0,0,0,1.0753325411861798,66.14509055803151
5.6066323013812244E7,0,0,0,1.1743963206883739,93.84433171877731
1.8868539742955405E7,0,0,0,2.084119086802018,27.408793347473434
5.506872273967872E7,0,0,0,1.9077647358386098,82.09698000505975
8.998037743550959E7,0,0,0,2.675655116806028,120.3645379964421
1.9960394834163416E7,0,0,0,2.3879134690996464,27.769386651594797
4.7609445058699965E7,0,0,0,1.592628534702816,74.47553819254298
6.316468911705181E7,0,0,0,1.502923084130169,100.21491342023701
6.78180103360072E7,0,0,0,2.495246776046869,92.96191399402703
6.96341799212738E7,0,0,0,2.0722733498653505,101.32626625312882
7.952766815895298E7,0,0,0,2.529224589429657,108.50761521709846
3.185347647292368E7,0,0,0,2.6711916134833227,42.6350683008015
6.052297158833304E7,0,0,0,2.672487365901152,80.99441139842492
8.43677096064901E7,0,0,0,1.4105666627275297,135.84542955286122
3.436614767652696E7,0,0,0,1.4224122085846371,55.22962241092665
3.151588033445862E7,0,0,0,2.4962121827702353,43.194851718926614
3.0617546671703607E7,0,0,0,1.8373454191663736,46.12920488255839
6.249443463898142E7,0,0,0,2.540117339582139,85.14092043457596
6.756831203497297E7,0,0,0,1.8934602576112591,100.94675912677567
3.6156402610253274E7,0,0,0,1.4891708012564917,57.48993587998868
5.479442041599712E7,0,0,0,1.8655100469461907,82.2058927675028
