2017,10,71592799,0,73
2016,10,71592799,0,73
2017,10,50346983,0,51
2016,10,50346983,0,51
2017,7,83060294,0,85
2016,7,83060294,0,85
2017,3,53234711,0,54
2016,3,53234711,0,54
2017,4,83851964,0,86
2016,4,83851964,0,86
2017,2,68759426,0,70
2016,2,68759426,0,70
2017,8,66265731,0,67
2016,8,66265731,0,67
2017,10,73582844,0,75
2016,10,73582844,0,75
2017,11,82687942,0,84
2016,11,82687942,0,84
2017,2,85105004,0,87
2016,2,85105004,0,87
2017,1,75715984,0,77
2016,1,75715984,0,77
2017,1,77681840,0,79
2016,1,77681840,0,79
2017,2,76437931,0,78
2016,2,76437931,0,78
2017,9,54069141,0,55
2016,9,54069141,0,55
2017,5,71377841,0,73
2016,5,71377841,0,73
2017,11,53831418,0,55
2016,11,53831418,0,55
2017,4,83730784,0,85
2016,4,83730784,0,85
2017,8,67119784,0,68
2016,8,67119784,0,68
2017,8,82798931,0,84
2016,8,82798931,0,84
2017,4,79201979,0,81
2016,4,79201979,0,81
2017,3,82297869,0,84
2016,3,82297869,0,84
2017,4,62993128,0,64
2016,4,62993128,0,64
2017,10,51454612,0,52
2016,10,51454612,0,52
2017,11,66434417,0,68
2016,11,66434417,0,68
2017,4,54591144,0,55
2016,4,54591144,0,55
2017,3,64968588,0,66
2016,3,64968588,0,66
2017,9,59647633,0,61
2016,9,59647633,0,61
2017,4,60091096,0,61
2016,4,60091096,0,61
2017,1,79047005,0,81
2016,1,79047005,0,81
2017,4,50241536,0,51
2016,4,50241536,0,51
2017,8,52719955,0,54
2016,8,52719955,0,54
2017,11,86218854,0,88
2016,11,86218854,0,88
2017,4,74273984,0,76
2016,4,74273984,0,76
2017,8,71624766,0,73
2016,8,71624766,0,73
2017,3,78470621,0,80
2016,3,78470621,0,80
2017,3,49007361,0,50
2016,3,49007361,0,50
2017,6,49025243,0,50
2016,6,49025243,0,50
2017,1,62494884,0,64
2016,1,62494884,0,64
2017,11,84929198,0,87
2016,11,84929198,0,87
2017,5,50534248,0,51
2016,5,50534248,0,51
2017,4,64674923,0,66
2016,4,64674923,0,66
2017,6,67210096,0,68
2016,6,67210096,0,68
2017,7,75088714,0,77
2016,7,75088714,0,77
2017,5,86846141,0,89
2016,5,86846141,0,89
2017,1,66510640,0,68
2016,1,66510640,0,68
2017,2,86414149,0,88
2016,2,86414149,0,88
2017,12,53635109,0,55
2016,12,53635109,0,55
2017,6,61361516,0,62
2016,6,61361516,0,62
2017,11,68020939,0,69
2016,11,68020939,0,69
2017,11,69100998,0,70
2016,11,69100998,0,70
2017,8,78355568,0,80
2016,8,78355568,0,80
2017,10,69042205,0,70
2016,10,69042205,0,70
2017,5,80862523,0,82
2016,5,80862523,0,82
2017,11,69330302,0,71
2016,11,69330302,0,71
2017,10,71202222,0,73
2016,10,71202222,0,73
2017,5,56976293,0,58
2016,5,56976293,0,58
2017,11,59281795,0,60
2016,11,59281795,0,60
2017,1,82979963,0,85
2016,1,82979963,0,85
2017,1,52320154,0,53
2016,1,52320154,0,53
2017,11,56472278,0,57
2016,11,56472278,0,57
2017,4,61711355,0,63
2016,4,61711355,0,63
2017,5,66213903,0,67
2016,5,66213903,0,67
2017,3,49812327,0,51
2016,3,49812327,0,51
2017,5,65274853,0,66
2016,5,65274853,0,66
2017,11,65414930,0,67
2016,11,65414930,0,67
2017,2,74887386,0,76
2016,2,74887386,0,76
2017,8,49154752,0,50
2016,8,49154752,0,50
2017,9,65883969,0,67
2016,9,65883969,0,67
2017,4,63592712,0,65
2016,4,63592712,0,65
2017,10,53254866,0,54
2016,10,53254866,0,54
2017,2,53742008,0,55
2016,2,53742008,0,55
2017,7,51764383,0,53
2016,7,51764383,0,53
2017,11,76039872,0,77
2016,11,76039872,0,77
2017,9,75074147,0,76
2016,9,75074147,0,76
2017,12,85738267,0,87
2016,12,85738267,0,87
2017,9,53561346,0,54
2016,9,53561346,0,54
2017,1,66359268,0,68
2016,1,66359268,0,68
2017,7,54893253,0,56
2016,7,54893253,0,56
2017,7,54637515,0,56
2016,7,54637515,0,56
2017,11,67644147,0,69
2016,11,67644147,0,69
2017,10,72027955,0,73
2016,10,72027955,0,73
2017,3,65481613,0,67
2016,3,65481613,0,67
2017,5,49557122,0,50
2016,5,49557122,0,50
2017,7,79752793,0,81
2016,7,79752793,0,81
