ar_indexalt,lat,state,nh,wage,par_coeffsize,par_expsize,par_coeffstate,par_expstate,par_sigmoidscale,par_sigmoidslope,dist_measure,atlagber1,atlagber2
29004022,45,1.3785056,11.242294,113475796.20599999,0.0030200000000000005,0.7200000000000005,0.6000000000000001,0.42000000000000004,0.44000000000000006,0.029999999999999777,0.2,171279.05,-1
37387996,60,1.1984152,10.071201,514839179.62032,0.005270000000000001,0.3299999999999995,1.2000000000000015,0.4499999999999994,0.09999999999999987,0.010000000000000342,0.13285415513005855,773867.38,252800
37387996,55,1.28531,10.071201,514839179.62032,0.0017800000000000012,0.4800000000000003,0.4800000000000004,0.44000000000000034,0.29000000000000015,0.050000000000000266,0.20793123878671477,773867.38,252800
48234096,49,1.6372205,10.071201,142463721.7752,0.0017800000000000003,0.19000000000000034,0.9800000000000005,0.6000000000000002,0.6299999999999999,0.05000000000000007,0.18905473008139304,58816.922,149298.23
53993392,86,1.1984152,10.071201,279165415.23432,0.003,0.5,0.3,0.5,0.04,0.05,0.0977778169595272,399363.63,128800
56981448,99,1.3785056,10.071201,279165415.23432,0.0016800000000000012,0.5300000000000001,1.2199999999999995,0.26000000000000023,0.7200000000000001,0.029999999999999805,0.1111111111111111,399363.63,128800
53993392,86,1.1984152,10.071201,283459203.42359996,0.003130000000000001,0.3600000000000001,0.33999999999999997,0.3299999999999999,0.4,0.25000000000000006,0.0977778169595272,225184.61,185958.58
56981448,99,1.3785056,10.071201,283459203.42359996,0.0027299999999999985,0.68,0.27999999999999997,0.47,0.5300000000000001,0.030000000000000034,0.1111111111111111,225184.61,185958.58
57592952,69,1.800384,10.071201,308244762.546,0.003,0.41,0.10999999999999999,0.59,0.24000000000000002,0.12999999999999998,0.18750002604485355,353318.84,179909.03
60780212,82,1.1984152,10.071201,308244762.546,0.00337,0.4399999999999999,0.38000000000000006,0.30999999999999994,0.23000000000000007,0.15999999999999995,0.21210758515560815,353318.84,179909.03
54382540,86,1.4918247,10.071201,308244762.546,0.00242,0.5800000000000001,1.23,0.3899999999999999,0.5200000000000002,0.03,0.1688402708690545,353318.84,179909.03
78174904,113,1.6372205,10.071201,217833648.53232,0.003,0.5,0.3,0.5,0.04,0.05,0.20793123878671477,304917.38,196802.84
26486382,25,1.1984152,11.242294,50606149.541999996,0.0027099999999999967,0.40000000000000036,1.4099999999999984,0.8999999999999994,0.4900000000000007,0.13000000000000111,0.4139105684302509,0,105561.43
24642938,34,1.6372205,10.071201,50606149.541999996,0.00223,0.24999999999999994,0.17000000000000004,0.73,0.39,0.06000000000000005,0.2647058823529412,0,105561.43
27042044,47,1.6372205,11.242294,254862137.502,0.0029,0.14999999999999997,0.12000000000000005,0.48000000000000004,0.42000000000000004,0.35,0.21567557668785547,412300,164949.19
41201040,85,1.3785056,10.071201,380112523.176,0.002860000000000004,0.4999999999999998,0.8399999999999999,0.30000000000000004,0.3699999999999999,0.04999999999999977,0.052381007858054066,490386.09,356068.97
41201040,85,1.3785056,10.071201,338723879.09639996,0.005410000000000002,0.52,0.2800000000000018,0.2799999999999999,0.5800000000000012,0.03000000000000007,0.052381007858054066,227036.67,346195.22
41201040,85,1.3785056,10.071201,368922578.14847994,0.004559999999999992,0.5200000000000007,0.5200000000000001,0.43000000000000016,0.75,0.04000000000000044,0.052381007858054066,370511.22,336001.22
41201040,85,1.3785056,10.071201,207084322.71600002,0.004180000000000001,0.6400000000000001,1.04,0.44000000000000017,0.53,0.01000000000000012,0.052381007858054066,371518.34,0
50835208,80,1.6372205,10.071201,185195789.6076,0.00562,0.3800000000000002,0.5799999999999996,0.8,0.42000000000000004,0.07000000000000006,0.22472081532282,125e3,258571.53
42143444,60,1.3785056,10.071201,185195789.6076,0.003,0.5,0.3,0.5,0.04,0.05,0.17458662960892668,125e3,258571.53
54647848,67,1.3785056,11.242294,317682009.97032,0.0018600000000000003,0.6000000000000001,0.3400000000000001,0.4000000000000001,0.49999999999999994,0.39,0.17818904220081766,253533.53,185149.42
52972764,80,1.3785056,10.071201,378158964.87024,0.0038700000000000015,0.4800000000000003,0.5099999999999993,0.43999999999999995,0.15000000000000008,0.010000000000000175,0.10276816434818757,344117.66,146493.84
47411376,50,2.1276114,10.071201,378158964.87024,0.0026799999999999992,0.31999999999999995,0.57,0.35000000000000003,0.62,0.010000000000000037,0.27402081728233324,344117.66,146493.84
52679308,80,1.6372205,10.071201,422896348.63344,0.006089999999999999,0.16000000000000014,1.4100000000000001,0.2199999999999997,0.1699999999999996,0.07999999999999996,0.25,441666.56,563623.38
58858624,76,1.3785056,10.071201,422896348.63344,0.0027100000000000006,0.4199999999999998,0.25000000000000006,0.8600000000000001,0.28,0.24000000000000002,0.15491705700869465,441666.56,563623.38
82607216,66,2.7128508,10.071201,385933541.8895999,0.0032400000000000007,0.30000000000000016,0.5999999999999998,0.6,0.32,0.009999999999999926,0.2874881051553656,438725.5,156368.58
23939618,51,1.3785056,10.071201,224155780.314,0.00418,0.5300000000000005,1.4599999999999995,0.37000000000000005,0.46,0.009999999999999842,0,321232.13,-1
30143532,43,1.9503328,10.071201,103973476.22999999,0.00263,0.32,0.9800000000000001,0.39999999999999997,0.16000000000000003,0.23000000000000004,0.3457592892843664,0,275850.25
35466100,42,1.6372205,10.071201,165498745.422,0.0038900000000000002,0.24000000000000007,1.16,0.5199999999999999,0.31000000000000005,0.06000000000000008,0.21428571428571427,314516.81,0
40084484,56,1.800384,10.071201,184335937.578,0.0030800000000000007,0.32000000000000006,0.15999999999999998,0.44000000000000017,0.3400000000000001,0.03999999999999998,0.18894822245934362,180753.97,182402.3
35918708,46,1.800384,10.071201,184335937.578,0.00296,0.37000000000000005,0.94,0.73,0.32999999999999996,0.010000000000000009,0.18946547175493214,180753.97,182402.3
56118276,79,1.6372205,10.071201,171964798.32216,0.0034599999999999995,0.53,0.9199999999999999,0.78,0.62,0.04999999999999982,0.18073128262172558,154287.94,126083.91
62804552,80,1.6372205,11.242294,209015765.73719996,0.002590000000000001,0.30000000000000016,0.9799999999999996,0.3200000000000001,0.6000000000000002,0.020000000000000157,0.2375,246821.8,241706.61
64914128,59,1.9503328,11.242294,209015765.73719996,0.0035899999999999994,0.1800000000000006,0.22999999999999932,0.7599999999999996,0.5699999999999998,0.010000000000000009,0.284711715748897,246821.8,241706.61
