1968,2,91038,1968,2,91038
1982,2,59900,1982,2,59900
1979,2,360315,1979,2,360315
1945,1,252644,1945,1,252644
1941,1,537038,1941,1,537038
1979,2,597731,1979,2,597731
1972,3,314324,1972,3,314324
1955,2,193140,1955,2,193140
1983,1,98918,1983,1,98918
1959,3,447993,1959,3,447993
1991,2,478663,1991,2,478663
1932,2,367401,1932,2,367401
1987,1,439046,1987,1,439046
1964,1,270399,1964,1,270399
1949,3,230519,1949,3,230519
1941,3,130335,1941,3,130335
1959,1,85145,1959,1,85145
1985,3,349038,1985,3,349038
1939,2,299597,1939,2,299597
1967,3,620524,1967,3,620524
1978,2,528433,1978,2,528433
1938,1,596055,1938,1,596055
1948,3,391506,1948,3,391506
1955,3,295896,1955,3,295896
1964,2,57296,1964,2,57296
1990,3,131214,1990,3,131214
1949,3,384051,1949,3,384051
1973,3,439396,1973,3,439396
1940,3,211970,1940,3,211970
1940,3,397387,1940,3,397387
1952,3,334011,1952,3,334011
1931,3,117118,1931,3,117118
1976,1,218571,1976,1,218571
1948,3,632128,1948,3,632128
1988,2,473851,1988,2,473851
1986,3,222471,1986,3,222471
1961,1,114759,1961,1,114759
1969,2,193959,1969,2,193959
1935,1,520144,1935,1,520144
1964,3,105927,1964,3,105927
1935,3,87546,1935,3,87546
1969,1,439684,1969,1,439684
1958,3,242734,1958,3,242734
1935,3,140087,1935,3,140087
1970,2,265947,1970,2,265947
1968,2,309262,1968,2,309262
1946,3,543399,1946,3,543399
1937,3,222963,1937,3,222963
1942,1,643300,1942,1,643300
1944,1,748226,1944,1,748226
1944,3,494897,1944,3,494897
1972,2,672538,1972,2,672538
1961,3,161792,1961,3,161792
1965,2,718635,1965,2,718635
1948,2,225984,1948,2,225984
1983,3,308651,1983,3,308651
1973,1,587750,1973,1,587750
1950,1,298487,1950,1,298487
1974,2,315873,1974,2,315873
1936,3,143491,1936,3,143491
1930,1,401435,1930,1,401435
1932,3,266800,1932,3,266800
1947,1,493046,1947,1,493046
1942,2,399809,1942,2,399809
1971,1,479051,1971,1,479051
1957,2,344273,1957,2,344273
1954,1,186260,1954,1,186260
1943,3,539086,1943,3,539086
1954,3,429773,1954,3,429773
1971,1,553859,1971,1,553859
1967,2,446119,1967,2,446119
1935,3,236962,1935,3,236962
1956,2,232850,1956,2,232850
1978,3,249726,1978,3,249726
1945,3,162745,1945,3,162745
1952,3,245879,1952,3,245879
1951,2,774547,1951,2,774547
1974,2,201348,1974,2,201348
1943,3,130260,1943,3,130260
1965,3,427231,1965,3,427231
1973,1,436617,1973,1,436617
1945,2,556235,1945,2,556235
1945,3,326974,1945,3,326974
1992,3,339281,1992,3,339281
1983,3,465640,1983,3,465640
1961,3,565794,1961,3,565794
1969,2,534474,1969,2,534474
1987,2,480513,1987,2,480513
1975,2,207633,1975,2,207633
1952,3,615627,1952,3,615627
1983,1,498797,1983,1,498797
1950,2,257041,1950,2,257041
1939,3,315858,1939,3,315858
1968,1,124480,1968,1,124480
1967,2,161534,1967,2,161534
1946,1,415837,1946,1,415837
1975,1,175063,1975,1,175063
1991,3,188487,1991,3,188487
1945,3,493340,1945,3,493340
1932,2,603397,1932,2,603397
1950,2,237493,1950,2,237493
1990,3,607389,1990,3,607389
1945,2,357105,1945,2,357105
1942,3,528853,1942,3,528853
1958,2,454229,1958,2,454229
1981,1,549338,1981,1,549338
1942,3,547413,1942,3,547413
1985,3,421664,1985,3,421664
1933,3,149650,1933,3,149650
1933,1,149935,1933,1,149935
1945,1,975252,1945,1,975252
1956,2,224373,1956,2,224373
1961,2,271680,1961,2,271680
1973,3,233294,1973,3,233294
1955,2,138340,1955,2,138340
1929,3,284411,1929,3,284411
1983,1,639705,1983,1,639705
1941,3,370674,1941,3,370674
1987,2,126320,1987,2,126320
1930,3,179008,1930,3,179008
1960,3,212173,1960,3,212173
1946,2,169242,1946,2,169242
1955,1,251496,1955,1,251496
1983,2,419699,1983,2,419699
1950,2,232727,1950,2,232727
1932,2,100544,1932,2,100544
1942,1,407155,1942,1,407155
1942,3,354491,1942,3,354491
1931,3,134671,1931,3,134671
1936,1,688344,1936,1,688344
1964,2,408869,1964,2,408869
1968,1,314990,1968,1,314990
1959,3,363630,1959,3,363630
1991,3,296764,1991,3,296764
1965,1,335323,1965,1,335323
1991,3,561621,1991,3,561621
1954,3,215138,1954,3,215138
1964,2,300909,1964,2,300909
1951,2,99591,1951,2,99591
1949,2,392447,1949,2,392447
1938,3,456399,1938,3,456399
1983,1,468756,1983,1,468756
1932,1,497003,1932,1,497003
1958,2,137634,1958,2,137634
1950,2,548705,1950,2,548705
1986,3,366327,1986,3,366327
1970,2,218824,1970,2,218824
1980,3,152643,1980,3,152643
1969,1,139962,1969,1,139962
1986,1,368876,1986,1,368876
1933,1,422736,1933,1,422736
1974,3,675304,1974,3,675304
1975,1,306980,1975,1,306980
1948,1,668586,1948,1,668586
1954,2,403801,1954,2,403801
1933,3,325977,1933,3,325977
1953,3,143252,1953,3,143252
1990,1,557419,1990,1,557419
1936,1,147497,1936,1,147497
1990,1,454211,1990,1,454211
1929,2,68108,1929,2,68108
1933,3,59663,1933,3,59663
1936,2,476767,1936,2,476767
1973,3,422528,1973,3,422528
1972,2,699612,1972,2,699612
1962,3,299221,1962,3,299221
1988,3,436265,1988,3,436265
1950,3,370960,1950,3,370960
1981,3,527095,1981,3,527095
1958,3,542959,1958,3,542959
1958,3,151470,1958,3,151470
1945,2,103085,1945,2,103085
1973,3,768274,1973,3,768274
1946,2,311150,1946,2,311150
1964,2,487872,1964,2,487872
1977,2,170313,1977,2,170313
1945,1,368723,1945,1,368723
1992,2,169424,1992,2,169424
